store,title,brand,model,device_type,ram_gb,storage_gb,price_ils,deal_price_ils,deal_label,warranty_months,stock_status,url,screen_size_in,image_url,confidence_level
IT Outlet,טלפון סלולרי מחודש Samsung Galaxy S9 64GB,Samsung,טלפון סלולרי מחודש Samsung Galaxy S9 64GB,phone,6,64,349,349,349 ₪,12,🟢 In Stock,https://www.itoutlet.co.il/items/4305126-%D7%98%D7%9C%D7%A4%D7%95%D7%9F-%D7%A1%D7%9C%D7%95%D7%9C%D7%A8%D7%99-%D7%9E%D7%97%D7%95%D7%93%D7%A9-Samsung-Galaxy-S9-64GB-%D7%A1%D7%9E%D7%A1%D7%95%D7%A0%D7%92,5.8,,verified
IT Outlet,טלפון סלולרי מחודש Samsung Galaxy S10 128GB,Samsung,טלפון סלולרי מחודש Samsung Galaxy S10 128GB,phone,6,128,349,349,349 ₪,12,🟢 In Stock,https://www.itoutlet.co.il/items/8597495-%D7%98%D7%9C%D7%A4%D7%95%D7%9F-%D7%A1%D7%9C%D7%95%D7%9C%D7%A8%D7%99-%D7%9E%D7%97%D7%95%D7%93%D7%A9-Samsung-Galaxy-S10-128GB-%D7%A1%D7%9E%D7%A1%D7%95%D7%A0%D7%92,6.1,,verified
IT Outlet,טלפון סלולרי מחודש Samsung Galaxy A16 128GB,Samsung,טלפון סלולרי מחודש Samsung Galaxy A16 128GB,phone,6,128,399,399,399 ₪,12,🟢 In Stock,https://www.itoutlet.co.il/items/9583990--%D7%98%D7%9C%D7%A4%D7%95%D7%9F-%D7%A1%D7%9C%D7%95%D7%9C%D7%A8%D7%99-%D7%9E%D7%97%D7%95%D7%93%D7%A9-Samsung-Galaxy-A16-128GB-%D7%A1%D7%9E%D7%A1%D7%95%D7%A0%D7%92,6.1,,verified
IT Outlet,טלפון סלולרי מחודש Samsung Galaxy A70,Samsung,טלפון סלולרי מחודש Samsung Galaxy A70,phone,6,128,449,449,449 ₪,12,🟢 In Stock,https://www.itoutlet.co.il/items/7359442-%D7%98%D7%9C%D7%A4%D7%95%D7%9F-%D7%A1%D7%9C%D7%95%D7%9C%D7%A8%D7%99-%D7%9E%D7%97%D7%95%D7%93%D7%A9-Samsung-Galaxy-A70-%D7%A1%D7%9E%D7%A1%D7%95%D7%A0%D7%92,6.1,,verified
IT Outlet,טלפון סלולרי מחודש Apple iPhone 11 128GB,Apple,טלפון סלולרי מחודש Apple iPhone 11 128GB,phone,4,128,499,499,499 ₪,12,🟢 In Stock,https://www.itoutlet.co.il/items/8436591--%D7%98%D7%9C%D7%A4%D7%95%D7%9F-%D7%A1%D7%9C%D7%95%D7%9C%D7%A8%D7%99-%D7%9E%D7%97%D7%95%D7%93%D7%A9-Apple-iPhone-11-128GB,6.1,,verified
IT Outlet,טלפון סלולרי מחודש Apple iPhone XS 256GB,Apple,טלפון סלולרי מחודש Apple iPhone XS 256GB,phone,4,256,499,499,499 ₪,12,🟢 In Stock,https://www.itoutlet.co.il/items/5049341-%D7%98%D7%9C%D7%A4%D7%95%D7%9F-%D7%A1%D7%9C%D7%95%D7%9C%D7%A8%D7%99-%D7%9E%D7%97%D7%95%D7%93%D7%A9-Apple-iPhone-XS-256GB-,6.1,,verified
IT Outlet,טאבלט מחודש Samsung Galaxy Tab A 10.1 (2019),Samsung,טאבלט מחודש Samsung Galaxy Tab A 10.1 (2019),tablet,6,128,549,549,549 ₪,12,🟢 In Stock,https://www.itoutlet.co.il/items/9107086-%D7%98%D7%90%D7%91%D7%9C%D7%98-%D7%9E%D7%97%D7%95%D7%93%D7%A9-Samsung-Galaxy-Tab-A-10-1-2019-%D7%A1%D7%9E%D7%A1%D7%95%D7%A0%D7%92,10.1,,verified
IT Outlet,טלפון סלולרי מחודש Apple iPhone 11 128GB,Apple,טלפון סלולרי מחודש Apple iPhone 11 128GB,phone,4,128,1500,1500,"1,500 ₪",12,🟢 In Stock,https://www.itoutlet.co.il/items/4305144--%D7%98%D7%9C%D7%A4%D7%95%D7%9F-%D7%A1%D7%9C%D7%95%D7%9C%D7%A8%D7%99-%D7%9E%D7%97%D7%95%D7%93%D7%A9-Apple-iPhone-11-128GB,6.1,,verified
GoMobile Outlet,מחודש Apple iPhone 17 Pro 256GB Cosmic Orange Dual-eSIM ללא סים פיזי,Apple,מחודש Apple iPhone 17 Pro 256GB Cosmic Orange Dual-eSIM ללא סים פיזי,phone,4,256,4249,4249,"4,249 ₪",3,🟢 In Stock,https://www.gomobile.co.il/product/%d7%9e%d7%97%d7%95%d7%93%d7%a9-apple-iphone-17-pro-256gb-cosmic-orange-dual-esim-%d7%9c%d7%9c%d7%90-%d7%a1%d7%99%d7%9d-%d7%a4%d7%99%d7%96%d7%99/,6.1,,verified
GoMobile Outlet,מחודש Motorola Razr 60 Ultra 5G XT2551-6 512GB 16GB Brown,Motorola,מחודש Motorola Razr 60 Ultra 5G XT2551-6 512GB 16GB Brown,phone,6,512,2999,2999,"2,999 ₪",3,🟢 In Stock,https://www.gomobile.co.il/product/%d7%9e%d7%97%d7%95%d7%93%d7%a9-motorola-razr-60-ultra-5g-xt2551-6-512gb-16gb-brown/,6.7,,verified
